Fecha,C05,C13,C20
2019-01-01,151.596204,147.962455,
2019-02-01,,126.999125,
2019-03-01,169.223336,131.063437,
2019-04-01,149.464036,122.729076,
2019-05-01,153.155456,116.213274,
2019-06-01,167.978767,116.614815,
2019-07-01,185.097202,110.525090,
2019-08-01,223.766974,116.471067,
2019-09-01,200.616225,,
2019-10-01,163.782011,137.798346,
2019-11-01,139.820336,149.456214,
2019-12-01,149.394333,138.049426,
2020-01-01,174.407921,167.184598,
2020-02-01,171.593332,139.598976,
2020-03-01,183.144100,130.280130,
2020-04-01,177.494644,113.762268,
2020-05-01,190.578120,,
2020-06-01,188.669717,103.330316,
2020-07-01,178.877297,99.459779,
2020-08-01,235.339267,148.497208,
2020-09-01,224.611553,114.970192,
2020-10-01,215.999723,134.168194,
2020-11-01,172.364230,169.650816,
2020-12-01,144.192821,127.285818,
2021-01-01,153.503869,131.243456,
2021-02-01,161.364852,126.788566,
2021-03-01,141.840005,107.445137,
2021-04-01,173.444520,108.867130,
2021-05-01,177.024346,117.695092,
2021-06-01,164.517527,105.404977,
2021-07-01,193.040878,101.717070,
2021-08-01,,106.163642,
2021-09-01,206.702579,103.060010,
2021-10-01,187.098047,,
2021-11-01,149.012279,146.684828,
2021-12-01,156.709148,143.917600,
2022-01-01,164.115073,154.513920,
2022-02-01,154.298744,126.490836,
2022-03-01,144.956205,109.293855,
2022-04-01,166.959954,100.105385,
2022-05-01,169.509557,102.551900,
2022-06-01,163.060892,103.593866,
2022-07-01,189.077696,97.159416,
2022-08-01,218.967102,113.853586,
2022-09-01,220.773742,131.506713,
2022-10-01,178.616544,135.563774,
2022-11-01,163.302879,154.977135,
2022-12-01,179.113449,181.384232,
2023-01-01,156.983564,138.009113,213.130796
2023-02-01,196.258818,130.864847,233.304149
2023-03-01,138.461474,101.951946,172.201533
2023-04-01,174.043791,109.738079,218.948614
2023-05-01,199.412564,101.958496,220.106193
2023-06-01,211.881134,95.173299,220.998397
2023-07-01,237.779866,110.306963,232.674886
2023-08-01,233.845784,122.411250,237.721593
2023-09-01,250.144158,122.808155,250.230912
2023-10-01,195.273927,129.935525,221.762321
2023-11-01,181.574608,139.119213,241.011493
2023-12-01,153.111829,126.564608,206.369832
2024-01-01,182.750199,165.214543,221.089950
2024-02-01,172.852110,139.134857,218.217326
2024-03-01,196.381350,108.721927,207.855196
2024-04-01,175.440505,106.476006,210.411758
2024-05-01,183.496090,105.791982,207.628486
2024-06-01,191.476060,110.402285,211.923873
2024-07-01,245.746237,101.783572,241.241101
2024-08-01,241.998640,110.326725,252.349159
2024-09-01,257.794094,118.047917,257.001831
2024-10-01,232.639649,148.406667,263.134532
2024-11-01,196.462894,163.909898,242.386056
2024-12-01,150.278560,121.651651,206.697753
2025-01-01,171.718332,158.673968,224.435060
2025-02-01,139.967253,111.523115,
2025-03-01,159.995553,97.819587,186.215138
2025-04-01,,114.282459,216.954131
2025-05-01,,92.347337,196.998287
2025-06-01,,95.641052,
2025-07-01,,,
