anio,mes,mes_nombre,fecha,consumo_predicho_m3
2020,1,January,2020-01-01,72589.6
2020,2,February,2020-02-01,72589.6
2020,3,March,2020-03-01,72616.7
2020,4,April,2020-04-01,77974.89
2020,5,May,2020-05-01,80560.89
2020,6,June,2020-06-01,89664.91
2020,7,July,2020-07-01,91381.15
2020,8,August,2020-08-01,91614.52
2020,9,September,2020-09-01,81697.11
2020,10,October,2020-10-01,81488.95
2020,11,November,2020-11-01,85210.31
2020,12,December,2020-12-01,85210.31
2021,1,January,2021-01-01,77354.73
2021,2,February,2021-02-01,77354.73
2021,3,March,2021-03-01,77381.83
2021,4,April,2021-04-01,82018.98
2021,5,May,2021-05-01,84446.64
2021,6,June,2021-06-01,92298.55
2021,7,July,2021-07-01,94109.69
2021,8,August,2021-08-01,94473.04
2021,9,September,2021-09-01,86339.03
2021,10,October,2021-10-01,86130.86
2021,11,November,2021-11-01,89082.68
2021,12,December,2021-12-01,89082.68
2022,1,January,2022-01-01,77354.73
2022,2,February,2022-02-01,77354.73
2022,3,March,2022-03-01,77381.83
2022,4,April,2022-04-01,82018.98
2022,5,May,2022-05-01,84446.64
2022,6,June,2022-06-01,92298.55
2022,7,July,2022-07-01,94109.69
2022,8,August,2022-08-01,94473.04
2022,9,September,2022-09-01,86339.03
2022,10,October,2022-10-01,86130.86
2022,11,November,2022-11-01,89082.68
2022,12,December,2022-12-01,89082.68
2023,1,January,2023-01-01,77354.73
2023,2,February,2023-02-01,77354.73
2023,3,March,2023-03-01,77381.83
2023,4,April,2023-04-01,82018.98
2023,5,May,2023-05-01,84446.64
2023,6,June,2023-06-01,92298.55
2023,7,July,2023-07-01,94109.69
2023,8,August,2023-08-01,94473.04
2023,9,September,2023-09-01,86339.03
2023,10,October,2023-10-01,86130.86
2023,11,November,2023-11-01,89082.68
2023,12,December,2023-12-01,89082.68
2024,1,January,2024-01-01,77354.73
2024,2,February,2024-02-01,77354.73
2024,3,March,2024-03-01,77381.83
2024,4,April,2024-04-01,82018.98
2024,5,May,2024-05-01,84446.64
2024,6,June,2024-06-01,92298.55
2024,7,July,2024-07-01,94109.69
2024,8,August,2024-08-01,94473.04
2024,9,September,2024-09-01,86339.03
2024,10,October,2024-10-01,86130.86
2024,11,November,2024-11-01,89082.68
2024,12,December,2024-12-01,89082.68
2025,1,January,2025-01-01,77354.73
2025,2,February,2025-02-01,77354.73
2025,3,March,2025-03-01,77381.83
2025,4,April,2025-04-01,82018.98
2025,5,May,2025-05-01,84446.64
2025,6,June,2025-06-01,92298.55
2025,7,July,2025-07-01,94109.69
2025,8,August,2025-08-01,94473.04
2025,9,September,2025-09-01,86339.03
2025,10,October,2025-10-01,86130.86
2025,11,November,2025-11-01,89082.68
2025,12,December,2025-12-01,89082.68
